uid,partition,source_collection,source_file,entity,entity_type,entity_qid,entity_aliases,entity_description,explicit_text,implicit_text
b00e56945db7,train,loc_vhp,afc2001001.00310_Loyal_G._Adams_Jr._Collection,Guam,Place,Q16635,Territory of Guam|Island of Guam|GU|Guåhån|GUM|Guahan|Guåhan|ISO 3166-1:GU|Guam|US-GU,unincorporated territory of the United States of America,"After boot camp in California, I was sent overseas. I was in the Pacific for about a year. First, I went to Pearl Harbor, then Kwajalein Island, and then **Guam**. From there, we moved up to Okinawa until the war ended.","After boot camp in California, I was sent overseas. I was in the Pacific for about a year. First, I went to Pearl Harbor, then Kwajalein Island, and then further west to another island. From there, we moved up to Okinawa until the war ended."
448f27b58528,train,loc_vhp,afc2001001.00310_Loyal_G._Adams_Jr._Collection,Okinawa Island,Place,Q600614,,smallest of the five main islands of Japan,"I was a Marine aircraft mechanic during the war. After Pearl Harbor, Kwajalein, and Guam, we moved to Okinawa Island. I was there until the war ended. Okinawa Island saw the fiercest fighting in the Pacific. We even weathered a terrible typhoon there.","I was a Marine aircraft mechanic during the war. After Pearl Harbor, Kwajalein, and Guam, we moved further west. I was there until the war ended. That place saw the fiercest fighting in the Pacific. We even weathered a terrible typhoon there."
48c120a2c292,train,loc_vhp,afc2001001.00310_Loyal_G._Adams_Jr._Collection,Japan,Place,Q17,Japan|State of Japan|Land of Rising Sun|Nihon-koku|Iapon|Nippon-koku|Iapan|Nippon|Land of the Rising Sun|Nihon,island country in East Asia,"I was stationed on Okinawa towards the end of the war, around 1945. It was further north in the Pacific, closer to Japan, so the weather was a bit better than Guam. After the Japanese surrendered, we flew troops into Japan itself. I spent about six months there with the Army of Occupation, seeing the devastation in Tokyo Bay.","I was stationed on Okinawa towards the end of the war, around 1945. It was further north in the Pacific, so the weather was a bit better than Guam. After the surrender, we flew troops into the mainland. I spent about six months there with the Army of Occupation, seeing the devastation in Tokyo Bay."
9ddfa6f80b52,train,loc_vhp,afc2001001.00310_Loyal_G._Adams_Jr._Collection,B-29 Superfortress,Military_Unit,Q184870,,1942 bomber aircraft family; heaviest bomber widely used by US forces in World War II,"After Okinawa in '45, we flew into Tokyo Bay. The devastation was unbelievable. Yokohama and Tokyo were flattened. It was all because of the B-29 Superfortress and the fire bombs they dropped. The flimsy houses didn't stand a chance.","After Okinawa in '45, we flew into Tokyo Bay. The devastation was unbelievable. Yokohama and Tokyo were flattened. It was all because of those bombers and the fire bombs they dropped. The flimsy houses didn't stand a chance."
7f1011248705,train,loc_vhp,afc2001001.00310_Loyal_G._Adams_Jr._Collection,Mount Fuji,Place,Q39231,,"volcano in Yamanashi and Shizuoka Prefectures, Japan","I was stationed on Okinawa towards the end of the war, around 1945. From the top of the barracks, we had a clear view. You could see Mount Fuji, the famous mountain in Japan, off in the distance on a clear day. It was a welcome sight after all the fighting.","I was stationed on Okinawa towards the end of the war, around 1945. From the top of the barracks, we had a clear view. You could see that iconic peak, the one in Japan, off in the distance on a clear day. It was a welcome sight after all the fighting."
e1d4e8dc4fc3,train,loc_vhp,afc2001001.02295_Daniel_H._Ackerman_Collection,Pearl Harbor,Event,Q127091,Pearl Harbour|Pearl Harbor,"harbor on the island of Oahu, Hawaii, USA","I enlisted right after Pearl Harbor. After boot camp at Parris Island in '41, I joined the USS South Dakota. We went through the canal and out to the Pacific. Every time we passed the Arizona at Pearl Harbor, we stood at attention.","I enlisted right after the attack. After boot camp at Parris Island in '41, I joined the USS South Dakota. We went through the canal and out to the Pacific. Every time we passed the Arizona in the harbor, we stood at attention."
47f830845b48,train,loc_vhp,afc2001001.02295_Daniel_H._Ackerman_Collection,Parris Island,Place,Q2337823,,"census-designated place in Beaufort County, South Carolina, United States","I enlisted right after Pearl Harbor. Boot camp was rough. I went down to Parris Island in November '41 and left around February '42. After that, I went to sea school in Norfolk, Virginia.","I enlisted right after Pearl Harbor. Boot camp was rough. I went down to South Carolina in November '41 and left around February '42. After that, I went to sea school in Norfolk, Virginia."
22d4279520de,train,loc_vhp,afc2001001.02295_Daniel_H._Ackerman_Collection,Battle of the Philippine Sea,Event,Q504347,,1944 World War II Pacific naval battle,"I was on the *South Dakota* in '44. We got into the Battle of the Philippine Sea; Admiral Oldendorf just blew the Japanese fleet to pieces with battleships. We were based at Ulithi after that, but even there, we got attacked. I remember watching movies on the fantail when the *Randolph* got hit by a kamikaze.","I was on the *South Dakota* in '44. We were part of the big naval action that June; Admiral Oldendorf just blew the Japanese fleet to pieces with battleships. We were based at Ulithi after that, but even there, we got attacked. I remember watching movies on the fantail when the *Randolph* got hit by a kamikaze."
24890ad18b25,train,loc_vhp,afc2001001.02295_Daniel_H._Ackerman_Collection,Kamikaze,Event,Q106300460,,Japanese WWII suicide pilot,"In '44, while at Ulithi, we were watching a movie on the fantail when two planes flew overhead. Then, the *Randolph* got hit. It was the ""Kamikaze"" thing, a scary moment.","In '44, while at Ulithi, we were watching a movie on the fantail when two planes flew overhead. Then, the *Randolph* got hit. It was one of those suicide attacks, a scary moment."
02729969cee7,train,loc_vhp,afc2001001.02295_Daniel_H._Ackerman_Collection,Chester Nimitz,Person,Q217645,,United States Navy fleet admiral (1885–1966),"After Pearl Harbor, the Navy was scrambling. We passed the Arizona memorial every time we went in and out. They raised and reconditioned those battleships fast. I heard Admiral Chester Nimitz really pushed to get the fleet back in fighting shape for the Pacific.","After Pearl Harbor, the Navy was scrambling. We passed the Arizona memorial every time we went in and out. They raised and reconditioned those battleships fast. I heard the commander of the Pacific Fleet really pushed to get everything back in fighting shape. It was his priority after taking command in late '41."
