,uid,source,SQN,text,origin,entity,start_char,end_char,class,subclass,ner_type,links
0,502827524150534145,twitter,0,Can Mark Wahlberg Transform Focus Of BP Disaster Movie httptcoILZn5GloCU moviesteem httptcoNoxzdDnRGM movie,,Deepwater Horizon film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/moviesteem/status/502827524150534145
1,501945488959369217,twitter,0,MarkWahlberg is in talks to star in BP oil rig disaster moviebut what would this mean for the Wahlburgers httptcoE6Osrskf4G,,Deepwater Horizon film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/THR/status/501945488959369217
2,495613146720378880,twitter,0,What Marvel amp James Gunn managed to do in a movie introducing 5 new characters amp a whole other side of the MCU is incredibly impressive,,Guardians of the Galaxy film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/randomlyrossy/status/495613146720378880
3,503735231846051840,twitter,0,SUPER by James Gunn JamesGunn Anyone who ever even contemplated seeing this movie should see it Just saw it for the 1st time blown away,,Guardians of the Galaxy film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/tonywolfness/status/503735231846051840
4,503902537519734784,twitter,0,The best movie best book best story Thanks Veronica Roth and thanks Neil Burger httptco3GyRg6VAx5,,Divergent film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/LorenaMartine59/status/503902537519734784
5,497917114125004800,twitter,0,I love the Veronica Roth cameo in the movie,,Divergent film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/naturallysheo/status/497917114125004800
6,503034701574324224,twitter,0,amvanimere love a Richard Linklater movie,,Boyhood film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/Jim_Nowhere/status/503034701574324224
7,497993676316868608,twitter,0,Sometimes it feels like youre living in a Richard Linklater movie Some other times it feels like youre in a Shruthi movie lyf,,Boyhood film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/SingInTheRine/status/497993676316868608
8,500226180801241088,twitter,0,Movie review Boyhood is Richard Linklaters touching beautiful masterpiece The director shot the movie over httptcoKOkitu2mZV,,Boyhood film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/grandrapidsday/status/500226180801241088
9,503727384282292225,twitter,0,Saw this movie today and loved it without reservation What an amazing feat And what a risk Richard Linklater httptcohaGlxYHjjf,,Boyhood film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/davidgans/status/503727384282292225
10,495783035137060865,twitter,0,Is Ellar Coltrane the first kid we all truly saw grow up So unique Game changing movie The icing on top is that it so Texas Oscar,,Boyhood film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/Chris_Hopetx/status/495783035137060865
11,499384298487554048,twitter,0,ChrisNolfo Movie Magnum Yeah the movie went where Ellar Coltrane was in his life at the time Nails painted haircuts photography,,Boyhood film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/nickdahhhden/status/499384298487554048
12,497144483243249665,twitter,0,The only Zack Snyder movie to open in the last week of March was Sucker Punch which lost a ton Date has nothing to do with Snyders past,,Batman v Superman Dawn of Justice,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/DavidPoland/status/497144483243249665
13,504854429950935040,twitter,0,Ansel Elgort amp Shailene Woodley were brother and sister in one movie then two people in love with cancer in another I dont like that,,The Fault in Our Stars film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/CourtneyJeanZ/status/504854429950935040
14,504850567806849025,twitter,0,heres when the movie starts getting sad augustus tells hazel his cancer came back,,The Fault in Our Stars film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/LyricalSunset7/status/504850567806849025
15,502028756584644608,twitter,0,My favorite TFIOS moment was when St August finally fixed the fault in his star and healed Hazel from cancer 1010 movie,,The Fault in Our Stars film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/DewShpag/status/502028756584644608
16,505126927301349376,twitter,0,Scarlett Johansson is a murdering alien but the most unbelievable part of the movie is that she understands what these people are saying,,Under the Skin 2013 film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/TommyHajj/status/505126927301349376
17,505805195100815360,twitter,0,Gareth Edwards was about to dissapointing me but in the end BAM He made me realize why the movie is how it is,,Godzilla 2014 film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/TokuDeka/status/505805195100815360
18,504119593229905922,twitter,0,And its not like the movie lacks for action set pieces People act like nothing happens until the end Bullshit All the Muto scenes,,Godzilla 2014 film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/DocScotticus/status/504119593229905922
19,503286959486533632,twitter,0,jamuelscones emotionalpedant Entirely original MUTO They were a really pleasant surprise unspoiled I had no idea it was a vs movie,,Godzilla 2014 film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/scwilko/status/503286959486533632
20,504462816003510272,twitter,0,tanehisicoates Is it okay if I enjoyed parts of the movie but strongly dislike Aaron TaylorJohnson,,Godzilla 2014 film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/RetepAdam/status/504462816003510272
21,495926121934749698,twitter,0,Jenko that helmet looks lame Schmidt you know whats not lame Safety even in a movie full of irresponsible actions they still care,,22 Jump Street,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/missnsaleh/status/495926121934749698
22,498322564641751041,twitter,0,Jordan Belfort is the dopestlol I cant stop watching this movie,,The Wolf of Wall Street 2013 film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/____Breezy/status/498322564641751041
23,501129612077064194,twitter,0,LordHighway There is no nobility in povertyLeonardo DiCaprio playing as Jordan belfort Massive movie,,The Wolf of Wall Street 2013 film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/TaiwoAdebambo/status/501129612077064194
24,503388757593030656,twitter,0,I found it kind of neat the real Jordan Belfort shows up who this movie is based on,,The Wolf of Wall Street 2013 film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/SpaceMutiny/status/503388757593030656
25,496271439683534850,twitter,0,Imagine introducing Leonardo Di Caprio playing as yourself in a movie based on a book you wrote about your life Respect for Jordan Belfort,,The Wolf of Wall Street 2013 film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/_stumpyfied/status/496271439683534850
26,504039146294636545,twitter,0,Two bros sitting next to me in Gracies talking about how good Drive was Yeah the Aaron Paul movie Nah man Nah,,Need for Speed film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/JimmieB45/status/504039146294636545
27,495639707074969601,twitter,0,Aaron Paul and Dominic Cooper in the same movie is just beautiful,,Need for Speed film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/Chelsie_Jones21/status/495639707074969601
28,500283702652317698,twitter,0,Film review Keira Knightley and Mark Ruffalo strive for authenticity in John Carneys musical tale httptcojzNVsyHCqK HollywoodDivas,,Begin Again film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/hollywooddivas/status/500283702652317698
29,504052840336076800,twitter,0,The theatrical return of the John Carneydirected musical dramedy which stars Mark Ruffalo httptco0ijpn6mBrP HollywoodDivas,,Begin Again film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/hollywooddivas/status/504052840336076800
30,499822676798889984,twitter,0,Keira Knightley amp Mark Ruffalo CoStar in Magical NYC Musical httptco7mIBW1XGfY RT Baret News,,Begin Again film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/WayoftheWizard/status/499822676798889984
31,495336321804935168,twitter,0,Cameron Diaz Leslie Mann and Kate Upton Movie nights are perfect,,The Other Woman 2014 film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/felicianunezz/status/495336321804935168
32,497224702327148544,twitter,0,Watching Cameron Diaz and Leslie Mann sit drunk in a closet togetherso far I love this movie,,The Other Woman 2014 film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/heyyitsalanna/status/497224702327148544
33,495333111849578496,twitter,0,Hold up theres a movie with Cameron Diaz AND Leslie Mann in it Like BOTH at the same time WHY WAS I NOT INFORMED,,The Other Woman 2014 film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/siege_31/status/495333111849578496
34,496771124660043776,twitter,0,Kate upton and Cameron Diaz in the same film is soo hot,,The Other Woman 2014 film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/Kaayleighdutton/status/496771124660043776
35,499966843000348676,twitter,0,New article A Minute With Melissa McCarthy and Ben Falcone on comedy and cars read more at here httptcozG3EsIaKrz,,Tammy film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/fecima/status/499966843000348676
36,505882483691233281,twitter,0,I wanna follow ben falcone amp Melissa McCarthy for this movie,,Tammy film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/teacrock/status/505882483691233281
37,496504465311019008,twitter,0,thecoolsection 2 Whats the worst movie you ever saw That movie with Sandra bullock in space by her damn self,,Gravity film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/DreArea_/status/496504465311019008
38,495445189641916417,twitter,0,The plot of the movie is Sandra Bullock developing a personality while floating in space,,Gravity film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/br0ceans/status/495445189641916417
39,495388574226059264,twitter,0,Chadwick Boseman became James Brown wsome movie magic See 31 awesome movie transformations httptco0DDMVQszfm httptcoh6fhoNNCtR,,Get on Up 28film29,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/CNN/status/495388574226059264
40,495461702146592768,twitter,0,MickJagger Thank You for making this Great movie about The God Father Of Soul I Salute you Sir httptcoebq9KWZbsU,,Get on Up 28film29,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/MCHammer/status/495461702146592768
41,495363550974865410,twitter,0,Heres when the next Transporter movie is hitting theaters httptcovBLfBN0X4S,,The Transporter Refueled,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/THR/status/495363550974865410
42,495216167553073153,twitter,0,Author Zane will pen an Aaliyah movie script to be approved by her family httptcoskv1y4Xc36 httptcoatBH0pcoWt,,Aaliyah The Princess of R26B,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/TheRoot/status/495216167553073153
43,495333205659361280,twitter,0,Woody Allen is getting tired or old Maybe he should make a movie about that httptcoHvffGbhWG7,,Magic in the Moonlight,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/nowtoronto/status/495333205659361280
44,495150701018763264,twitter,0,OMG Taylor Swift got a serious makeUNDER for her upcoming movie First look httptcohO4XFHOUr7 httptcorqkwdqyNAi,,The Giver 28film29,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/AOLLifestyle/status/495150701018763264
45,495410188728283137,twitter,0,hell no RT YoungPlatinum The cast of the Aaliyah movie httptco9Nzrff4Lnt httptcoyuyub7CDnf,,Aaliyah The Princess of R26B,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/ToddCooper4300/status/495410188728283137
46,495358366257258496,twitter,0,RT icecube Go see the movie about the Godfather of Soul RampB and Rap Mr James Brown GETONUP in theaters today httptcoaTIwSw3we9,,Get on Up 28film29,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/DaBigBody/status/495358366257258496
47,495455222912004097,twitter,0,Spotted Ellen Page is filming her new movie in Vancouver httptcotlVjWybuby,,Into the Forest,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/VancityBuzz/status/495455222912004097
48,495363556444225536,twitter,0,Imagine explaining to your WWII vet grandpa why a bunch of grown men slept in line to see a movie with a talking raccoon,,Guardians of the Galaxy 28film29,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/MarkAgee/status/495363556444225536
49,495443759686242304,twitter,0,Pulling up to the Tyler Perry shoot for the new movie httptcoVSgfaAWcOD,,The Single Moms Club,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/bb_brooks/status/495443759686242304
50,495365692473237504,twitter,0,AM BUZZ Zane To Write Aaliyah Movie Adrienne Bailon Squashes Kim K Beef amp More httptcou1KpdL5I2H fb httptcoDac0viTv48,,Aaliyah The Princess of R26B,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/Z1079/status/495365692473237504
51,495339002304937984,twitter,0,Marvel made a hit movie with a raccoon amp a tree Hope they use the goodwill amp make 1 with a female lead If its awesome the audiencell show,,Guardians of the Galaxy 28film29,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/Henderson_Joe/status/495339002304937984
52,495316821621608448,twitter,0,Movie featuring Music by Selena Gomez Really oh yay Opening in September httptcohYGHFmxMbs,,The House of Magic,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/chrisMusic88/status/495316821621608448
53,495368584580050944,twitter,0,MarvelMovieWishList Seriously Ellen Page would fn rule a Kitty Pryde movie And after being a glorified extra in 3 films isnt it time,,XMen The Last Stand,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/joe_hill/status/495368584580050944
54,495300507460595712,twitter,0,While DC tries to decide what shades of brown Shazams costume will be I JUST SAW A FCKING ROCKET RACCOON MOVIE,,Guardians of the Galaxy 28film29,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/DerrickJWyatt/status/495300507460595712
55,495341682519330816,twitter,0,From this weeks THR Meryl Streep Learning Guitar for diablocody Movie httptco9nDvGTtTf8,,Ricki and the Flash,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/SethAbramovitch/status/495341682519330816
56,495594881549869056,twitter,0,Everyone congratulate M Night Shayamalan for no longer having made the worst movie tiein to a Nickelodeon cartoon,,The Last Airbender,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/the_moviebob/status/495594881549869056
57,495399244594180096,twitter,0,Rocket Raccoon 2ND best raccoon in a movie,,Guardians of the Galaxy film,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/MFryActual/status/495399244594180096
58,495327422196486144,twitter,0,congrats to my best friend maxjoseph on the announcement of his movie w ZacEfron and emrata movie cant suck with a cast that pretty,,We Are Your Friends 28film29,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/CaseyNeistat/status/495327422196486144
59,495430651517358080,twitter,0,They put Raphael in a durag Ive GOTTA see this movie now httptcoyPoUAi6vM7,,Teenage Mutant Ninja Turtles 282014 film29,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/Manatti23/status/495430651517358080
60,495313179493167104,twitter,0,RT richard littler I knocked out a miniarticle about fairy tale sex movie posters of the 1970s httptcog7tv2KSy7s aflashbak,,The New Adventures of Snow White,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/Top10Films/status/495313179493167104
61,495584637444694016,twitter,0,Good point RT LE2thaON a James Brown movie thats is PG13 is not a James Brown movie I wanna see,,Get on Up 28film29,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/DJDURL/status/495584637444694016
62,495413536219095040,twitter,0,My movie comes out the same day the Turtles movie comes out,,Teenage Mutant Ninja Turtles 282014 film29,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/MysticSaiyaman/status/495413536219095040
63,495953453613449216,twitter,0,Am sorry karthiksubbaraj Actor Siddharth for stealing your movies Twitter Handle Sensational movie Just loved it,,Jigarthanda,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/Jigarthanda/status/495953453613449216
64,497745413240524800,twitter,0,RT JoeBerkowitz Heres the 2nd part of my interview w Richard Linklater Its all about how a 12year long movie shoot even happens,,Boyhood 28film29,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/thorstone137/status/497745413240524800
65,495956592031195136,twitter,0,You say the new TRANSFORMERS movie made 1 billion worldwide I say the new TRANSFORMERS movie cost the world 1 billion perspective,,Transformers Age of Extinction,-1,-1,Work,Movie,WORK_OF_ART,https://twitter.com/BilgeEbiri/status/495956592031195136
