,uid,source,SQN,text,origin,entity,start_char,end_char,class,subclass,ner_type,links
0,953743751381385216,twitter,0,Ellen Pompeo just gave the best jnterview Ive read since Jen Aniston dished on her divorce from that idiot Brad Pitt httpstcoZyJ7HNZIU9,,Brad Pitt,107,116,Person,Actor,PERSON,https://twitter.com//chrisolitics/status/953743751381385216
1,953768405944930304,twitter,0,n1ckkkkkb Dwayne Johnson is off set chatting up some 12 year old in his 1 litre Costa What a place we live in,,Dwayne Johnson,10,24,Person,Actor,PERSON,https://twitter.com//OGlazebrook/status/953768405944930304
2,953737267901812737,twitter,0,Jamie Foxxs club posse from the Blame It video in descending order of likelihood theyd actually hang out T Pain Samuel L Jackson Forest Whitaker Jake Gyllenhaal Ron Howard,,Jamie Foxx,0,10,Person,Actor,PERSON,https://twitter.com//km_mcfarland/status/953737267901812737
3,953486119810646016,twitter,0,Fancy from the Jamie Foxx show has been slept on and unappreciated for years A1,,Jamie Foxx,15,25,Person,Actor,PERSON,https://twitter.com//DayneGretzky28/status/953486119810646016
4,953475247197405184,twitter,0,You know what I just noticed Shit started to hit the fan once Leonardo DiCaprio won an Oscar,,Leonardo DiCaprio,62,79,Person,Actor,PERSON,https://twitter.com//ohheyitsgiselle/status/953475247197405184
5,953707182687633408,twitter,0,Seeing Tom Hanks playing Ben Bradlee editor of WaPo with so much passion is overwhelming,,Tom Hanks,7,16,Person,Actor,PERSON,https://twitter.com//digbijaymishra1/status/953707182687633408
6,953778961607163904,twitter,0,Jeremy Bates should be frontrunner for Jets OC Hes well liked internally and knows how to communicatedevelop QBs eg McCown played very well under his tutelage Promoting within would be a positive step for a franchise about to hire its 4th OC in 4 years,,Jeremy Bates tennis,-1,-1,Person,Artist,PERSON,https://twitter.com//Schultz_Report/status/953778961607163904
7,953778959929425920,twitter,0,Camila Cabello lucyhale Im waiting for a camila cabello ft lucy hale or lucy hale ft camila cabello,,Lucy Hale,-1,-1,Person,Artist,PERSON,https://twitter.com//swiftssymphony/status/953778959929425920
8,953778956917923840,twitter,0,Whaaaaaaat I didnt know she was sangin like this Jazzmeia Horn a jazz vocal httpstcoRsae07xZkr,,Jazz,49,53,Person,Artist,PERSON,https://twitter.com//jbmccray/status/953778956917923840
9,953778862164496384,twitter,0,If a guy ever sang Perfect by Ed Sheeran to me Id probs propose to him,,Ed Sheeran,30,40,Person,Artist,PERSON,https://twitter.com//itscourtneytho/status/953778862164496384
10,953778797383503875,twitter,0,RANDOM THINKING On my wedding day my husband amp I will have our first dance to Bootsy Collins Id Rather Be with You,,Bootsy Collins,80,94,Person,Artist,PERSON,https://twitter.com//ReadingToni/status/953778797383503875
11,953778735299399681,twitter,0,Cant stop listening to La Modelo Ozuna Pr iamcardib,,Fnumber,-1,-1,Person,Artist,PERSON,https://twitter.com//RUN_D_L_C/status/953778735299399681
12,953778688168026112,twitter,0,I just heard a new Macklemore song on the radio Hes alive I figured he ODd in a thrift shop back in 13 or something,,Macklemore,19,29,Person,Artist,PERSON,https://twitter.com//TheDylantula/status/953778688168026112
13,953778688168026112,twitter,0,I just heard a new Macklemore song on the radio Hes alive I figured he ODd in a thrift shop back in 13 or something,,Macklemore,19,29,Person,Artist,PERSON,https://twitter.com//TheDylantula/status/953778688168026112
14,953778688168026112,twitter,0,I just heard a new Macklemore song on the radio Hes alive I figured he ODd in a thrift shop back in 13 or something,,Macklemore,19,29,Person,Artist,PERSON,https://twitter.com//TheDylantula/status/953778688168026112
15,953778588477730816,twitter,0,Top story Upcoming100Dolores ORiordans DARK Bandmate Andy Rourke Shares S httpstconn18Om05iD see more httpstcoDv4aK6rm1Y,,Andy Rourke,53,64,Person,Artist,PERSON,https://twitter.com//raytopian/status/953778588477730816
16,953778384319819776,twitter,0,MOLT YT Quick tip if youre mainly looking to beat mortar use splashyard with executioner instead of baby d you almost always have a distraction or a block for the mortar Probably my least favourite deck to face when I use it,,Baby D rapper,-1,-1,Person,Artist,PERSON,https://twitter.com//wonderbradyt/status/953778384319819776
17,953778332457463808,twitter,0,IAmPhillyC thank you for including Young Dro I confess idk who JID is Coulda had Childish on there tho,,Young Dro,35,44,Person,Artist,PERSON,https://twitter.com//j_playz/status/953778332457463808
18,953778228686131201,twitter,0,No man scares me If i could Id dunk on shack Smokes Seth Rogan s weed Tell snoop to teach me to c walk in D block But Im humble,,Seth Rogen,-1,-1,Person,Artist,PERSON,https://twitter.com//Khaos_Komics47/status/953778228686131201
19,953778209824403457,twitter,0,np Terence Trent DArby Sign Your Name music best hits rock pop dance on httpstcomh0es8NbLh,,Terence Trent DArby,3,22,Person,Artist,PERSON,https://twitter.com//classichitradio/status/953778209824403457
20,953778074004393984,twitter,0,NowPlaying 02 Monica Don t Take It Personal Just One Of Dem Days on DJ STAN THE MAN RADIO Follow Me On Twitter Djstantheman,,Monica singer,-1,-1,Person,Artist,PERSON,https://twitter.com//Djstantheman/status/953778074004393984
21,953777954240303104,twitter,0,GioPontiFan Tom is the MAN Mr Fitzgerald a joy httpstcoMeyYbOCuGG Gronk is a beast Give him time Big Ben A Brown I D K,,Gronk artist,-1,-1,Person,Artist,PERSON,https://twitter.com//fltblkfrank/status/953777954240303104
22,953777841891524608,twitter,0,alltooswell Hey Eunice Unfortunately you didnt win one of the reputation magazines but we liked your answer a lot so wed love to send you one of our Taylor Swift display posters that we use for instore displays if youre interested,,Taylor Swift,149,161,Person,Artist,PERSON,https://twitter.com//JBHiFi/status/953777841891524608
23,953777208694276102,twitter,0,A car just came if a parking lot in front of Taylor and she said You mother fucker whyd you have to pull out,,,0,0,Person,Artist,PERSON,https://twitter.com//pandapeargummy/status/953777208694276102
24,953777144857006080,twitter,0,Mike D reveals a Beastie Boys memoir will be out this year httpstcorOiGmSMBNF httpstcoMBDyXcpfkO,,Mike D,0,6,Person,Artist,PERSON,https://twitter.com//okayplayer/status/953777144857006080
25,953776217815175168,twitter,0,Honestly this is the fourth time Id forgotten Gregory Porters name Trying to get music on thinking Geoffrey Gary Gordon I love him but I cant get a handle on it,,Gregory Porter,46,60,Person,Artist,PERSON,https://twitter.com//Cherokeegrl/status/953776217815175168
26,953778961741381634,twitter,0,i saw this on my cousins insta a couple months ago amp i still dont have an answer so i took it to twitterWhat is Better all of Chance the Rappers songs as a whole or just Lose Yourself by Eminem rt when done,,Eminem,189,195,Person,Artist,PERSON,https://twitter.com//madisonrhicks/status/953778961741381634
27,953778945383649280,twitter,0,I added a video to a YouTube playlist httpstcoyolqLgmYAy FREELil Yachty Duwap Kaine LilB LilBoom Type Beat Bikini,,Lil Yachty,61,71,Person,Artist,PERSON,https://twitter.com//LilClip_/status/953778945383649280
28,953778943915692032,twitter,0,Ice Cube I Rep That West httpstcoYGEwtTs0tD via YouTube,,Ice Cube,0,8,Person,Artist,PERSON,https://twitter.com//DatRuimZien/status/953778943915692032
29,953778920398249984,twitter,0,I liked a YouTube video httpstconpPT5e5ag3 Rich The Kid New Freezer Lyric Video ft Kendrick Lamar,,Kendrick Lamar,83,97,Person,Artist,PERSON,https://twitter.com//_ivontay/status/953778920398249984
30,953778862164496384,twitter,0,If a guy ever sang Perfect by Ed Sheeran to me Id probs propose to him,,Ed Sheeran,30,40,Person,Artist,PERSON,https://twitter.com//itscourtneytho/status/953778862164496384
31,953778847564095489,twitter,0,Dan Flavin 19331966 Light isas I saidas plain and open and direct an art as you will ever find MOMA httpstcoTDIubJYLDR,,Dan Flavin,0,10,Person,Artist,PERSON,https://twitter.com//NicolodiDaria/status/953778847564095489
32,953778828807032832,twitter,0,machinegunkelly Alright I figured it out Its Flare Up or Ode to Keith Richards Pay me in free merch thanks,,Keith Richards,64,78,Person,Artist,PERSON,https://twitter.com//crystillia08/status/953778828807032832
33,953778799107289089,twitter,0,One of my old friends back in the day said Big Pun sounds like Rick Steiner in Still not a player and now I cant unhear it,,Big Pun,43,50,Person,Artist,PERSON,https://twitter.com//ttownmike/status/953778799107289089
34,953778757575282688,twitter,0,swirvana I was wrong about it originally being UGKs song but thats basically what I heard That JayZ didnt write the hook,,Jay Z,-1,-1,Person,Artist,PERSON,https://twitter.com//PreechTheProfit/status/953778757575282688
35,953778756405071872,twitter,0,I just read that Rene Rancourt is retiring I always enjoy watching him when Bruins games are on tv He is a legend threefistpumpsforRene BostonBruins,,Rene Rancourt,17,30,Person,Artist,PERSON,https://twitter.com//KirkWoods50/status/953778756405071872
36,953778836180754432,twitter,0,Tory Lanez convincing me to get a cat scan,,Tory Lanez,0,10,Person,Artist,PERSON,https://twitter.com//Somefleenigga/status/953778836180754432
37,953778813737095168,twitter,0,Great but Power deserves big time recognition At the very least Tommy deserves a GG nom httpstcoDpZz4CDcT6,,,0,0,Person,Artist,PERSON,https://twitter.com//iamKwhite/status/953778813737095168
38,953778802362060800,twitter,0,EricDJuly NOOOOOOO Corey Taylor is a beta,,Corey Taylor,19,31,Person,Artist,PERSON,https://twitter.com//cashcow91/status/953778802362060800
39,953778799799304192,twitter,0,Somebody lemme see your Netflix for a hour I wan watch Katt Williams special,,Katt Williams,55,68,Person,Artist,PERSON,https://twitter.com//MrBuhleedat/status/953778799799304192
40,953778797681111041,twitter,0,Ashleigh Banfield Says Aziz Ansaris Accuser is Appalling She Had a Bad Date httpstcoHGm7habvBR via TMZ,,Aziz Ansari,23,34,Person,Artist,PERSON,https://twitter.com//Womenfest/status/953778797681111041
41,953778792165724161,twitter,0,did we ever even find out if jungwoo and lucas are rappersvocalists or what arent fans in ukraine saying they saw lucas dancing a lot hm,,,0,0,Person,Artist,PERSON,https://twitter.com//ultncts/status/953778792165724161
42,953483361439248384,twitter,0,Whether the worlds fastest man Usain Bolt or the worlds best footballer Cristiano Ronaldo everyone gets fatigued and lose muscle strength Choose Cryotherapy for recovery and a boost in performance from httpstconN9dCeKIZ6,,Usain Bolt,31,41,Person,Athlete,PERSON,https://twitter.com//cryo_spa/status/953483361439248384
43,952963160792694784,twitter,0,Usain Bolt the fastest man in the world is looking to join Dortmund With his trained mindset do you think he will be able to do it Bundesliga urbanfutsal fastestman MondayMotivation usainbolt httpstcorocqoNU71T,,Usain Bolt,0,10,Person,Athlete,PERSON,https://twitter.com//UrbanFutsalLA/status/952963160792694784
44,951944487898664960,twitter,0,Usain Bolt on His Partnership With Philips Burgeoning DJ Career and Love of Snapchat In a race to find the future of tech even the fastest man in the world might have trouble navigating a crowded convention hall Olympic gold medalist Usain Bolt v httpstconnVT4sDHxM,,Usain Bolt,0,10,Person,Athlete,PERSON,https://twitter.com//DavalynCorp/status/951944487898664960
45,953292053315751936,twitter,0,Usain Bolt and pals troll President Trump httpstcolo0ecJr9Gh via pagesix To all he who is first shall be last because you the fastest doesnt mean youre the smartest,,Usain Bolt,0,10,Person,Athlete,PERSON,https://twitter.com//Victorm45949713/status/953292053315751936
46,951525739156901889,twitter,0,Usain Bolt Dances His Ass Off Onstage with Steve Aoki tmzvideo id0 gb2vx00s Usain Bolt definitely knows how to get a party going so its only fitting Steve Aoki enlisted the fastest man alive to get the crowd LIT at his Vegas show Wednes httpstcoTrRtuflQIm,,Usain Bolt,0,10,Person,Athlete,PERSON,https://twitter.com//CamModelsNowCom/status/951525739156901889
47,953778961179336705,twitter,0,LeoGomide Wescley showed amazing play as a second shadow but didnt adapt to the teams style of pressing from the front line andVissel Kobe needed to empty the foreign players frame to win the Korean national teams volante,,Wescley,10,17,Person,Athlete,PERSON,https://twitter.com//nikkoroya/status/953778961179336705
48,953778960948744192,twitter,0,cometswrestling Jared Becker with a pin,,,0,0,Person,Athlete,PERSON,https://twitter.com//HHSSportsMed/status/953778960948744192
49,953778954489475074,twitter,0,Spoke with member of Montreal media a few minutes ago who told me that CanadiensMTL Phillip Danault is home resting with concussion He might begin skating next week,,Phillip Danault,84,99,Person,Athlete,PERSON,https://twitter.com//ShawnHutcheon/status/953778954489475074
50,953778944683028481,twitter,0,LeviDamien Id rather daft a young guy Bowman was good in a pinch but hes old and we are long overdue for a stud young LB in Oakland,,,0,0,Person,Athlete,PERSON,https://twitter.com//SportsJunkie80/status/953778944683028481
51,953778805528842240,twitter,0,I just got mad that D Wade turned 36 today I thought he was 38 or 40 And shit Im turning 37 in a few weeks,,,0,0,Person,Athlete,PERSON,https://twitter.com//SADessus/status/953778805528842240
52,953778710141980673,twitter,0,wojespn Blake saw Mike D Antoni on the court simply tried to do what J Kidd did to Mike Woodson and get a tech on D Antoni,,Mike DAntoni,-1,-1,Person,Athlete,PERSON,https://twitter.com//IAmShiDiddy/status/953778710141980673
53,953778427970162689,twitter,0,But you can wear an Al Horford jersey every day With the Embiid jersey you have to give it periodic breaks Sixers TheRingerIsDead httpstcoEzaTaI7v6o,,Al Horford,20,30,Person,Athlete,PERSON,https://twitter.com//D_Auguland/status/953778427970162689
54,953778304758222848,twitter,0,I was told today my high level of confidence was a bad trait I responded by saying Michael Jordan always thought hed make the shot at the end of the game The lesson if you dont ask for the ball and think youll make the shot you wont ever know if you can be successful,,Michael Jordan,83,97,Person,Athlete,PERSON,https://twitter.com//WOAH_Brady/status/953778304758222848
55,953778187909128193,twitter,0,Favorite Ronaldinho memory Watching him bounce down the aisle of commercial jet just before door closed and take middle seat on flight from Boston to DC with Barcelona teammates during 2003 summer tour DC United was on same flight after MLSintl doubleheader at Foxboro,,Ronaldinho,9,19,Person,Athlete,PERSON,https://twitter.com//SoccerInsider/status/953778187909128193
56,953778173682044929,twitter,0,Blake Griffin reportedly hit Mike DAntoni and nothing happens to him,,Blake Griffin,0,13,Person,Athlete,PERSON,https://twitter.com//_JensenThaMan/status/953778173682044929
57,953778029632737280,twitter,0,washingtonpost article by Derek Hawkins RE Deportation of MI father of two Jorge Garcia and married to US citizen for 15 yrs appeared in sacbee news and I recd text from MoveOn and his saw situation on MSNBC The ICE should not break up families like theirs This not good,,Derek Hawkins,26,39,Person,Athlete,PERSON,https://twitter.com//MightyMartha7x/status/953778029632737280
58,953778008795631617,twitter,0,Blake Griffin intentionally ran his goofy googlyeyed ass into Mike DAntoni on Live TV amp hes getting off clean in all this I hate that Beige Bitch,,Mike DAntoni,62,74,Person,Athlete,PERSON,https://twitter.com//DVals/status/953778008795631617
59,953777974612029440,twitter,0,Pelicans Lineup 0117 DFS Daily Fantasy NBA Startinglineups R Rondo J Holiday E Moore A Davis D Cousins Pelicans Lineup httpstcohoSUjQySyK fantasyalarm,,Arthur Edward Moore,-1,-1,Person,Athlete,PERSON,https://twitter.com//FantasyAlarm/status/953777974612029440
60,953777973034979328,twitter,0,Pelicans Lineup 0117 DFS Daily Fantasy NBA Startinglineups R Rondo J Holiday E Moore A Davis D Cousins Pelicans Lineup httpstco2QuYB0pqji,,Bitly,-1,-1,Person,Athlete,PERSON,https://twitter.com//NBADailyLineups/status/953777973034979328
61,953777933826609155,twitter,0,jaye greene ChuckModi1 I was disappointed but Id seen the D get manhandled a lot this year they moved Dick LeBeau out because they were worried that they would lose Keith Butler and that has not worked out Id like to see Butler go,,Dick LeBeau,102,113,Person,Athlete,PERSON,https://twitter.com//Howa14Roosevelt/status/953777933826609155
62,953777907733852160,twitter,0,Starting Line Up For The Thunderbirds D Hamilton D Fayne F Grenier F Mamin F Lammikko G Montembeault,,Pavel Mamin,-1,-1,Person,Athlete,PERSON,https://twitter.com//SinBinTBirds/status/953777907733852160
63,953777869775257601,twitter,0,Uncle Alchemy You think Ariza and G Green being out will change the game much on Sat I feel like with Harden back it will cover for the scoring of Green and Ariza Ariza hasnt done much offensively But I guess he played D G Green you just never know how hot he can get,,,0,0,Person,Athlete,PERSON,https://twitter.com//chocaltewondere/status/953777869775257601
64,953777850703687680,twitter,0,Zach6613 wojespn Dangelo Russell was td up for aggressively clapping And Tim Duncan got td up for aggressively smiling Nba wild man,,DAngelo Russell,-1,-1,Person,Athlete,PERSON,https://twitter.com//MarshmallowGxD/status/953777850703687680
65,953777848749142018,twitter,0,KyleKiekenapp nate kaim domingue35 Great comeback no not really Had Louis told us all he was told to go play In the E Wed still go to bat for him as his fans He chose to say something completely different which,,,0,0,Person,Athlete,PERSON,https://twitter.com//ItsPronotRetail/status/953777848749142018
66,953777762262814726,twitter,0,NFLDraftBites Would take more than that if Im Snead How likely are Rams to get as much impact out of whoever they take 4th overall as they get from Aaron Donald Only reason Id ever make that trade is if I was targeting a franchise QB The Rams arent so no deal,,Aaron Donald,148,160,Person,Athlete,PERSON,https://twitter.com//JayCatalyst/status/953777762262814726
67,953777761260396544,twitter,0,Starting Line Up For The Hershey Bears D Lewington D Siegenhalter F Walker F Barber F Graovac G Vanecek,,Hershey Bears,25,38,Person,Athlete,PERSON,https://twitter.com//SinBinTBirds/status/953777761260396544
68,953777542988640256,twitter,0,bballbreakdown Blake elbowed DAntoni and pegged Gordon hard with the ball No suspension,,,0,0,Person,Athlete,PERSON,https://twitter.com//spenceisgood/status/953777542988640256
69,953777524764487680,twitter,0,So how many games is Blake Griffin suspended for intentionally pushing Mike DAntoni NBA,,Mike DAntoni,71,83,Person,Athlete,PERSON,https://twitter.com//sportynory/status/953777524764487680
70,953777353942953984,twitter,0,After his withdrawal from his fight against Barao the criticism grew bigger as people said Cruzs career was done amp hed never be back As much as people doubted him he kept working with the goal of recapturing his title He returned after 3 years amp finished Takeya Mizugaki httpstcoDGHE2mGyZn,,Takeya Mizugaki,259,274,Person,Athlete,PERSON,https://twitter.com//MMAHistoryToday/status/953777353942953984
71,953777182794334208,twitter,0,bbhkf78 robertbrender nimmo is still young and worth something id rather trade him now than laterhe can prove hes worth more then use him at the deadline,,Contraction grammar,-1,-1,Person,Athlete,PERSON,https://twitter.com//joelevesque5/status/953777182794334208
72,953776120997953536,twitter,0,Mr Manager1 When Finn started Bullet Club in NJPW he was called the REAL ROCK N ROLLA Prince Devitt and hed say REAL a lot It cracks us up at the moment,,Prince Devitt,86,99,Person,Athlete,PERSON,https://twitter.com//REALGoingInRaw/status/953776120997953536
73,953776088135753731,twitter,0,Dan Gurney 86 httpstcopZhylHkYZs RIP DanGurney racing motorsports F1 IndyCar LeMans NASCAR driver designer owner checkeredflag,,Dan Gurney,0,10,Person,Athlete,PERSON,https://twitter.com//D_C_Haiku/status/953776088135753731
74,953776074042806272,twitter,0,Shame the cameras missed Bob Hazel punching Graham Rix at Highbury in 1978 after allegedly being called a black bd WhitesvBlacks,,Graham Rix,44,54,Person,Athlete,PERSON,https://twitter.com//howardjholmes/status/953776074042806272
75,953775961962500096,twitter,0,Peyton Manning is a Micd Up finalist Indianapolis Star httpstco9if8U6RjfQ,,Peyton Manning,0,14,Person,Athlete,PERSON,https://twitter.com//DesperaHousewiv/status/953775961962500096
76,953778949238161409,twitter,0,I swear Shannon Sharpe the coolest guy around lol,,Shannon Sharpe,8,22,Person,Athlete,PERSON,https://twitter.com//8millionst0ries/status/953778949238161409
77,953778945677320192,twitter,0,bernalbroscards Ive got it FSFT at 15 Im looking for anything Chase Utley Also Kris Bryant Bryce Harper RCs,,Chase Utley,62,73,Person,Athlete,PERSON,https://twitter.com//BleedCubBlue311/status/953778945677320192
78,953778915436359681,twitter,0,I can tell some of you only watched Paul Pierce when Kevin Garnett came he was balling for years trying to get the Celtics on top and was the only reason they were relevant for the majority of the 2000s,,Paul Pierce,36,47,Person,Athlete,PERSON,https://twitter.com//Young_Kam513/status/953778915436359681
79,953778896503263232,twitter,0,I mean Todd Haley does get AB the ball,,Todd Haley,7,17,Person,Athlete,PERSON,https://twitter.com//_DJ_Scott/status/953778896503263232
